stname,year,tot_pop
Texas,2001,21319622
Texas,2002,21690325
Texas,2003,22030931
Texas,2004,22394023
Texas,2005,22778123
Texas,2006,23359580
Texas,2007,23831983
Texas,2008,24309039
Texas,2009,24801761
Texas,2010,25257114
Texas,2011,25654464
Texas,2012,26089741
Texas,2013,26500674
Texas,2014,26979078
Texas,2015,27469114
Utah,1990,2042078
Utah,1991,1783814
Utah,1992,1918355
Utah,1993,2086994
Utah,1994,2014372
Utah,1995,2134441
Utah,1996,2121579
Utah,1997,2378427
Utah,1998,3063117
Utah,1999,2234410
Utah,2000,2244502
Utah,2001,2283715
Utah,2002,2324815
Utah,2003,2360137
Utah,2004,2401580
Utah,2005,2457719
Utah,2006,2525507
Utah,2007,2597746
Utah,2008,2663029
Utah,2009,2723421
Utah,2010,2776469
Utah,2011,2816440
Utah,2012,2856343
Utah,2013,2903685
Utah,2014,2944498
Utah,2015,2995919
Vermont,1990,564798
Vermont,1991,683782
Vermont,1992,633141
Vermont,1993,662313
Vermont,1994,590238
Vermont,1995,643165
Vermont,1996,615641
Vermont,1997,739968
Vermont,1998,663766
Vermont,1999,641610
Vermont,2000,609618
Vermont,2001,612223
Vermont,2002,615442
Vermont,2003,617858
Vermont,2004,619920
Vermont,2005,621215
Vermont,2006,622892
Vermont,2007,623481
Vermont,2008,624151
Vermont,2009,624817
Vermont,2010,625960
Vermont,2011,626687
Vermont,2012,626398
Vermont,2013,627129
Vermont,2014,626767
Vermont,2015,626042
Virginia,1990,6655062
Virginia,1991,6923272
Virginia,1992,8006529
Virginia,1993,7073018
Virginia,1994,7436404
Virginia,1995,7144039
Virginia,1996,7536103
Virginia,1997,6972232
Virginia,1998,7356559
Virginia,1999,7634607
Virginia,2000,7105817
Virginia,2001,7198362
Virginia,2002,7286873
Virginia,2003,7366977
Virginia,2004,7475575
Virginia,2005,7577105
Virginia,2006,7673725
Virginia,2007,7751000
Virginia,2008,7833496
Virginia,2009,7925937
Virginia,2010,8024617
Virginia,2011,8110783
Virginia,2012,8193374
Virginia,2013,8267875
Virginia,2014,8328098
Virginia,2015,8382993
Washington,1990,5418649
Washington,1991,6083304
Washington,1992,5386788
Washington,1993,5447404
Washington,1994,5394615
Washington,1995,5850415
Washington,1996,5573929
Washington,1997,6837032
Washington,1998,7588967
Washington,1999,5905079
Washington,2000,5910512
Washington,2001,5985722
Washington,2002,6052349
Washington,2003,6104115
Washington,2004,6178645
Washington,2005,6257305
Washington,2006,6370753
Washington,2007,6461587
Washington,2008,6562231
Washington,2009,6667426
Washington,2010,6744496
Washington,2011,6823229
Washington,2012,6897292
Washington,2013,6973281
Washington,2014,7063166
Washington,2015,7170351
West Virginia,1990,1908077
West Virginia,1991,2006100
West Virginia,1992,1944474
West Virginia,1993,1881867
West Virginia,1994,2064473
West Virginia,1995,2060310
West Virginia,1996,2211485
West Virginia,1997,1877218
West Virginia,1998,2051770
West Virginia,1999,1955924
West Virginia,2000,1807021
West Virginia,2001,1801481
West Virginia,2002,1805414
West Virginia,2003,1812295
West Virginia,2004,1816438
West Virginia,2005,1820492
West Virginia,2006,1827912
West Virginia,2007,1834052
West Virginia,2008,1840310
West Virginia,2009,1847775
West Virginia,2010,1853973
West Virginia,2011,1854948
West Virginia,2012,1856283
West Virginia,2013,1852985
West Virginia,2014,1848751
West Virginia,2015,1844128
Wisconsin,1990,5395861
Wisconsin,1991,5213785
Wisconsin,1992,5431059
Wisconsin,1993,5516635
Wisconsin,1994,5297744
Wisconsin,1995,5661360
Wisconsin,1996,5625008
Wisconsin,1997,6025309
Wisconsin,1998,6791157
Wisconsin,1999,5599181
Wisconsin,2000,5373999
Wisconsin,2001,5406835
Wisconsin,2002,5445162
Wisconsin,2003,5479203
Wisconsin,2004,5514026
Wisconsin,2005,5546166
Wisconsin,2006,5577655
Wisconsin,2007,5610775
Wisconsin,2008,5640996
Wisconsin,2009,5669264
Wisconsin,2010,5691047
Wisconsin,2011,5709720
Wisconsin,2012,5726422
Wisconsin,2013,5743653
Wisconsin,2014,5759432
Wisconsin,2015,5771337
Wyoming,1990,523361
Wyoming,1991,467423
Wyoming,1992,537758
Wyoming,1993,479438
Wyoming,1994,542853
Wyoming,1995,558555
Wyoming,1996,586738
Wyoming,1997,515340
Wyoming,1998,522044
Wyoming,1999,527599
Wyoming,2000,494300
Wyoming,2001,494657
Wyoming,2002,500017
Wyoming,2003,503453
Wyoming,2004,509106
Wyoming,2005,514157
Wyoming,2006,522667
Wyoming,2007,534876
Wyoming,2008,546043
Wyoming,2009,559851
Wyoming,2010,564460
Wyoming,2011,567768
Wyoming,2012,577080
Wyoming,2013,583131
Wyoming,2014,584304
Wyoming,2015,586107
